"core_id","latitude","longitude","depth_top","depth_bottom","soc","bulk_density"
"COMP_001",44.9182325983726,-74.6076539217179,0,20,65.782227793834,0.921580714145513
"COMP_001",44.9182325983726,-74.6076539217179,20,40,37.3699974701179,1.07581758749072
"COMP_001",44.9182325983726,-74.6076539217179,40,60,34.0889329893012,1.34195631160158
"COMP_001",44.9182325983726,-74.6076539217179,60,80,27.2643544946602,1.45374901033884
"COMP_001",44.9182325983726,-74.6076539217179,80,100,22.6761540900506,1.74809932036633
"COMP_002",44.06766947222,-75.0565684254616,0,20,64.282301234175,0.981745570134618
"COMP_002",44.06766947222,-75.0565684254616,20,40,33.2408686654135,1.14922089276297
"COMP_002",44.06766947222,-75.0565684254616,40,60,38.7451258090756,1.23123377150651
"COMP_002",44.06766947222,-75.0565684254616,60,80,34.3954271845235,1.57125991810952
"COMP_002",44.06766947222,-75.0565684254616,80,100,31.2098924577931,1.70506197979899
"COMP_003",44.8214591992313,-75.2012326465401,0,20,51.4704778025589,1.01019956881831
"COMP_003",44.8214591992313,-75.2012326465401,20,40,40.5162366768605,1.19558963981972
"COMP_003",44.8214591992313,-75.2012326465401,40,60,24.917380918975,1.39995571271413
"COMP_003",44.8214591992313,-75.2012326465401,60,80,26.1520134866853,1.53720984255797
"COMP_003",44.8214591992313,-75.2012326465401,80,100,11.5670088418068,1.64948185259329
"COMP_004",45.3994666018096,-74.7868559003706,0,20,59.3354566622144,0.829445803983519
"COMP_004",45.3994666018096,-74.7868559003706,20,40,45.0176795074108,1.09237238730013
"COMP_004",45.3994666018096,-74.7868559003706,40,60,31.3750628871645,1.19792245015407
"COMP_004",45.3994666018096,-74.7868559003706,60,80,24.6194590523628,1.53004679871718
"COMP_004",45.3994666018096,-74.7868559003706,80,100,21.3027367957831,1.66246157019229
"COMP_005",45.6256511526932,-74.664722594633,0,20,62.6219743093942,0.96232663372989
"COMP_005",45.6256511526932,-74.664722594633,20,40,40.1442196764513,1.08726409197457
"COMP_005",45.6256511526932,-74.664722594633,40,60,32.2728977918001,1.37776089085036
"COMP_005",45.6256511526932,-74.664722594633,60,80,23.215643459526,1.62779869427915
"COMP_005",45.6256511526932,-74.664722594633,80,100,21.8951860671533,1.75638040390796
"COMP_006",45.3185449619018,-74.1122317285765,0,20,90.7362680958923,1.0663280639498
"COMP_006",45.3185449619018,-74.1122317285765,20,40,36.7225001476141,1.18124288165458
"COMP_006",45.3185449619018,-74.1122317285765,40,60,25.6234525589179,1.291230974706
"COMP_006",45.3185449619018,-74.1122317285765,60,80,17.0352466541271,1.57852151048235
"COMP_006",45.3185449619018,-74.1122317285765,80,100,11.7658894025238,1.8
"COMP_007",44.7094641069624,-74.9935063737004,0,20,60.6435629920859,0.874954253126844
"COMP_007",44.7094641069624,-74.9935063737004,20,40,53.0606194198459,1.03913689655026
"COMP_007",44.7094641069624,-74.9935063737004,40,60,36.4756978583808,1.39884304039416
"COMP_007",44.7094641069624,-74.9935063737004,60,80,31.0361062200369,1.39714616483583
"COMP_007",44.7094641069624,-74.9935063737004,80,100,36.5491103003538,1.8
"COMP_008",46.4521080458117,-75.1341456396577,0,20,79.621586354598,0.841094727099371
"COMP_008",46.4521080458117,-75.1341456396577,20,40,65.0510173326347,1.05335867044691
"COMP_008",46.4521080458117,-75.1341456396577,40,60,54.7176751014688,1.25108544144389
"COMP_008",46.4521080458117,-75.1341456396577,60,80,45.0464395496632,1.54826800348887
"COMP_008",46.4521080458117,-75.1341456396577,80,100,29.7443247740726,1.68113893285142
"COMP_009",45.3897211196884,-75.0909362091715,0,20,64.0751056723396,0.848286885015623
"COMP_009",45.3897211196884,-75.0909362091715,20,40,63.4731379945794,1.19118543008606
"COMP_009",45.3897211196884,-75.0909362091715,40,60,39.7697586270982,1.31267193681781
"COMP_009",45.3897211196884,-75.0909362091715,60,80,28.523962093864,1.40736122439856
"COMP_009",45.3897211196884,-75.0909362091715,80,100,19.7814058651876,1.76875799651677
"COMP_010",44.4458905190438,-74.5324041163132,0,20,57.2605277038501,0.823915232666174
"COMP_010",44.4458905190438,-74.5324041163132,20,40,52.8111256249808,1.11453741691182
"COMP_010",44.4458905190438,-74.5324041163132,40,60,37.4443614397226,1.31522718752263
"COMP_010",44.4458905190438,-74.5324041163132,60,80,26.8419911803795,1.49426089844815
"COMP_010",44.4458905190438,-74.5324041163132,80,100,23.4549332957355,1.69977186319595
"COMP_011",45.3070907193197,-74.4336820579771,0,20,62.8715912604807,0.926692660111684
"COMP_011",45.3070907193197,-74.4336820579771,20,40,48.3024347330846,1.01725423841104
"COMP_011",45.3070907193197,-74.4336820579771,40,60,36.4353176042505,1.19102480733808
"COMP_011",45.3070907193197,-74.4336820579771,60,80,23.6714945253733,1.38513916695492
"COMP_011",45.3070907193197,-74.4336820579771,80,100,31.4844317504003,1.69371971954555
"COMP_012",44.7128245272789,-75.4641685032198,0,20,98.9223636141268,1.07900935124895
"COMP_012",44.7128245272789,-75.4641685032198,20,40,47.7978454687466,1.096784030602
"COMP_012",44.7128245272789,-75.4641685032198,40,60,58.4080277198533,1.45153002652512
"COMP_012",44.7128245272789,-75.4641685032198,60,80,38.7093108893792,1.50198437199501
"COMP_012",44.7128245272789,-75.4641685032198,80,100,24.0976744657093,1.74427403224804
"COMP_013",45.2010041301876,-74.3819271937695,0,20,63.7128620970595,0.814642553451453
"COMP_013",45.2010041301876,-74.3819271937695,20,40,48.7163798443906,1.21199505282365
